dataset,model,seed,f1_1,pre_1,rec_1,auroc,auprc,train_ratio
atnet,caregnn,2027,0.1085718207398256,0.063708118556701,0.3670533642691415,0.6249579196584187,0.0878222226177088,0.01
atnet,xgb,2024,0.66669589617678,0.5198632478632479,0.9291213491384578,0.9911161765002304,0.6393436666562966,0.05
atnet,xgb,2025,0.6580478919543293,0.5160256410256411,0.9079318376854236,0.9912016131913864,0.6221010722048016,0.05
atnet,xgb,2026,0.6604503070275187,0.5250596658711217,0.8899240009806325,0.9911077138711792,0.6256198466825341,0.05
atnet,xgb,2027,0.6576878878418755,0.530436716838437,0.8652636671504595,0.9910252822853692,0.6426397125396149,0.05
atnet,lgbm,2024,0.6644936792494384,0.5194903581267217,0.9217890749114016,0.991011402638336,0.6278212511295881,0.05
atnet,lgbm,2025,0.6535093689034073,0.5187265917602997,0.8829226431286012,0.9908096494196952,0.6218888363511227,0.05
atnet,lgbm,2026,0.6583788706739526,0.5237646717866976,0.8861240500122579,0.9909975668848008,0.6199636440044917,0.05
atnet,lgbm,2027,0.6510549720881824,0.5346542346542347,0.8322447992259313,0.9909746333035684,0.63267212045903,0.05
atnet,gcn,2024,0.2520490342812344,0.1475355124006591,0.8643529267994623,0.954239843116311,0.3588973698133199,0.05
atnet,gcn,2025,0.2580765153346848,0.152115764086823,0.85055780311389,0.9504785663777012,0.3524970018986748,0.05
atnet,gcn,2026,0.2554945576809832,0.1511745532201865,0.8243442020102967,0.94231766183155,0.3361902214664083,0.05
atnet,gcn,2027,0.2730200593411609,0.1727258142146638,0.6510643444605708,0.927326484838638,0.2885684724756707,0.05
atnet,gat,2024,0.5535504390513725,0.3859615291905703,0.9783697910301844,0.9886751126965336,0.5781484277741138,0.05
atnet,gat,2025,0.5945311583147518,0.4365735953119614,0.931592497241633,0.9813307418808142,0.55956847614983,0.05
atnet,gat,2026,0.4234029586126655,0.2735146743020759,0.9367492032360872,0.982780214770524,0.5201810451779744,0.05
atnet,gat,2027,0.4221113657813132,0.2716105076864351,0.9466618287373004,0.9811230984548152,0.4982409806953196,0.05
atnet,caregnn,2024,0.1013030617955072,0.0582760016187778,0.3871440791885616,0.6209672866430731,0.0915675082589289,0.05
atnet,caregnn,2025,0.1091127098321343,0.0637215528781793,0.3793061174451391,0.6308290714023375,0.1134863157231518,0.05
atnet,caregnn,2026,0.1131712469585227,0.0668762121313448,0.3677371904878647,0.6287901977469957,0.0978715119114849,0.05
atnet,caregnn,2027,0.118103641971526,0.0710511440438447,0.3496613449443638,0.6303893937048425,0.0914686506590567,0.05
atnet,xgb,2024,0.6709600803873207,0.5179830747531735,0.952164894996111,0.9912562534334624,0.6537736181372809,0.1
atnet,xgb,2025,0.6705683324950849,0.5164811945344415,0.9556887788348756,0.9916139499426688,0.6453552498724372,0.1
atnet,xgb,2026,0.6740449178050475,0.5240495391705069,0.9443363176333204,0.9916722696346943,0.650292527948647,0.1
